"filename", "language", "HTML", "Markdown", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "CSS", "JavaScript", "PHP", "comment", "blank", "total"
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\ToDo.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\api\application.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 8, 33
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\api\changelog.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 8, 35
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\api\data.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\api\db.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\api\homepageImages.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 6, 19
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\api\nyheder.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 7, 27
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\api\rules.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\assets\index-5jezx2A9.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 16, 0, 56, 1, 73
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\assets\index-8zFM2BUa.css", "CSS", 0, 0, 0, 0, 0, 0, 2, 0, 0, 3, 1, 6
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\dist\index.html", "HTML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\package-lock.json", "JSON", 0, 0, 0, 0, 4038, 0, 0, 0, 0, 0, 1, 4039
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\package.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 41
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\public\api\application.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 8, 33
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\public\api\changelog.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 8, 35
"c:\Projekter\Projekter\[LotusRP]\lotusrphjemmeside\public\api\data.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 4, 14
